age,is_corporate,gender,total_balance,account_count,has_active_loan,has_overdue_loan,has_upcoming_payment,has_issuing_card,has_check_card,has_credit_card,has_deposit_sub,has_savings_sub,default_risk_level,recent_deposit_count,recent_withdrawal_count,recent_transfer_count,days_since_last_tx,max_password_fail_count,has_business_id,task_detail_type,savings_near_maturity,deposit_near_maturity,profile_id,scenario_kind
32,0,1,49589696,2,0,0,0,0,0,0,0,0,0,2,3,1,24,0,0,금융상품가입,0,0,60048a7b773597161603b5ae,original_cleaned
32,0,1,1907966,2,0,0,0,0,0,0,0,0,0,1,7,2,6,0,0,출금,0,0,f073bee3f8dbe42aaad6d16c,original_cleaned
35,0,0,8436582,1,0,0,0,0,1,1,0,0,0,0,4,2,20,0,0,신용대출,0,0,89b82a3314f0f0e83265f7e1,original_cleaned
35,0,1,24346485,3,0,0,0,0,1,0,0,0,0,6,4,3,22,0,0,신용카드 발급,0,0,c1b95166e10f8d3d24f5c789,original_cleaned
41,0,0,4502008,1,0,0,0,0,1,0,0,0,0,0,0,0,34,0,0,신용대출,0,0,9dff5ea7c96bc21eca9f92ee,original_cleaned
54,0,1,30631739,2,1,1,1,0,0,0,0,0,0,0,0,0,42,0,0,연체관리,0,0,eb7a02088032accb8b8a78f4,original_cleaned
29,0,1,13046374,3,0,0,0,0,1,0,1,0,0,0,0,0,40,0,0,예금,0,1,07eabab1a1bd4d5b124cf908,original_cleaned
28,0,1,1751348,1,0,0,0,0,1,0,0,0,0,2,7,0,7,0,0,출금,0,0,8302088178d53d962a92b2dc,original_cleaned
52,0,1,808439,3,0,0,0,0,1,1,0,0,0,4,3,3,14,0,0,소상공인 대출,0,0,a21ad6893192f975cbb9e149,original_cleaned
31,0,0,17495380,2,1,0,1,0,1,0,0,0,0,2,2,1,25,0,0,대출 상환,0,0,2e50cb83260366541957fffb,original_cleaned
41,0,0,9348193,3,1,0,0,0,0,1,0,0,0,0,0,0,40,0,0,소상공인 대출,0,0,76516cb5d120a61d4af9c68a,original_cleaned
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,b6893f8a9d5d1930e09723b9,original_cleaned
49,0,0,12950516,3,1,0,0,1,1,0,0,0,0,1,3,2,6,0,0,카드수령,0,0,6bc5a9de1791aebc9480433b,original_cleaned
51,0,1,1912560,2,0,0,0,1,0,1,0,0,0,0,0,0,42,0,0,카드수령,0,0,9996ae83af7e3a610652a867,original_cleaned
54,0,1,5707115,2,1,0,0,0,1,0,0,0,0,19,1,1,13,0,0,입금,0,0,9c1aa8f625816b27d538a3dc,original_cleaned
45,0,1,17556679,1,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,소상공인 대출,0,0,699636f09e5f581d46c84198,original_cleaned
26,0,1,12261638,2,0,0,0,0,0,0,0,1,0,1,1,3,26,0,0,적금,1,0,5d36dc53796e569fd70ffd88,original_cleaned
36,0,1,696556,2,0,0,0,0,0,0,0,0,0,4,1,2,6,0,0,신용대출,0,0,2e299bd1913e3ce334ddaa0c,original_cleaned
29,0,1,2752163,1,0,0,0,0,0,0,0,0,0,2,6,3,30,0,0,체크카드 발급,0,0,401031a22a3732862052f475,original_cleaned
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,cc301d089cc287b7e41a0072,original_cleaned
35,0,0,2601031,3,0,0,0,0,1,0,0,0,0,1,2,11,7,0,0,이체,0,0,35fa578ee814d2e80907e8bb,original_cleaned
37,0,0,10122714,2,0,0,0,0,1,1,0,0,0,4,9,1,4,0,0,출금,0,0,c3a56409da4ea38880403be4,original_cleaned
39,1,0,7226168,2,1,1,0,0,1,0,0,0,3,0,0,0,44,0,0,부도관리,0,0,f5ae75ed333d611e3d06c016,original_cleaned
55,0,0,169804743,2,0,0,0,0,0,0,0,0,0,4,2,2,19,0,0,주택담보대출,0,0,0f51beeefde0e4f5b2c84a24,original_cleaned
58,0,0,5877304,1,1,0,1,0,0,1,0,0,0,1,2,5,20,0,0,대출 상환,0,0,8f738ef75b1279f7c9855ebb,original_cleaned
73,0,0,172779,1,0,0,0,0,1,0,0,0,0,3,3,3,14,0,0,연금신청,0,0,e3b2ffa58a8a8e406844e3ba,original_cleaned
51,0,1,2378033,3,0,0,0,0,0,0,0,0,0,2,0,12,3,0,0,이체,0,0,963c06153e600582aa362fa1,original_cleaned
23,0,0,348709,1,0,0,0,0,0,0,0,1,0,1,4,2,13,0,0,적금,1,0,3c51733b23d2e3448a567b11,original_cleaned
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,2eb8bcf6c56cc279f1db9eba,original_cleaned
30,0,0,1000000,2,0,0,0,0,0,0,0,0,0,4,3,2,9,0,0,금융상품가입,0,0,4aa7709fb597abb5ae0097d2,original_cleaned
26,0,0,20659804,3,0,0,0,0,1,0,1,0,0,4,1,1,30,0,0,예금,0,1,d0e9a96c6103ca65435d593b,original_cleaned
46,0,0,944691,1,0,0,0,0,1,0,0,0,0,0,0,0,44,0,0,신용대출,0,0,c3e500be2c9476d9f0fb9983,original_cleaned
42,0,1,19240195,1,0,0,0,0,0,0,0,0,0,0,0,0,318,3,0,통장 비밀번호 변경,0,0,c74d5b6abb8e40949c7f6c57,original_cleaned
76,0,0,554363,2,0,0,0,0,0,0,0,0,0,0,0,0,168,5,0,통장 비밀번호 변경,0,0,dac2dfd935a955d34e419bcc,original_cleaned
25,0,1,3873255,2,0,0,0,0,0,0,0,1,0,6,2,0,5,0,0,적금,1,0,fdb2296c34fd01aa4ef9434a,original_cleaned
49,0,1,3511354,1,0,0,0,0,0,0,0,0,0,9,5,2,10,0,0,입금,0,0,5d400ec8951ba1ee251b80ac,original_cleaned
51,0,1,17162975,1,1,0,0,0,0,0,0,0,0,8,2,0,6,0,0,입금,0,0,a1b742ca142536fb90cf4941,original_cleaned
48,0,0,12706906,2,0,0,0,0,1,0,0,0,0,6,2,2,6,0,0,소상공인 대출,0,0,dd31b12a2766eaf6f3a20e9e,original_cleaned
29,0,0,1858408,2,0,0,0,0,1,0,0,1,0,3,5,3,7,0,0,적금,1,0,2f64198b4a6309df4afff42e,original_cleaned
58,1,1,4515424,2,1,0,0,0,1,0,0,0,0,5,1,1,10,0,0,법인카드 발급,0,0,d7da5664016103e1abd4a3b6,original_cleaned
51,0,1,3846317,1,1,0,1,0,1,1,0,0,0,4,3,2,8,0,0,대출 상환,0,0,e9568af4dac5f059ada43e34,original_cleaned
32,0,0,18748189,2,0,0,0,0,1,0,0,0,0,2,1,2,20,0,0,신용카드 발급,0,0,8d6ad4d395f01f134b6bd568,original_cleaned
73,0,1,37018650,2,0,0,0,0,0,0,0,0,0,4,2,1,3,0,0,연금신청,0,0,21c4c71cb3509dc5fbbb4db8,original_cleaned
54,0,0,1639168,1,0,0,0,0,1,0,0,0,0,8,2,1,3,0,0,입금,0,0,77d6bb4903824af6c25e506f,original_cleaned
67,0,0,3054445,2,1,0,0,0,1,0,0,0,0,9,3,1,10,0,0,입금,0,0,45a090460eb020477af98c5d,original_cleaned
37,1,0,44379321,3,1,0,0,0,1,1,0,0,0,4,1,3,8,0,0,기업대출,0,0,58d6b646e55bb30fd42d7620,original_cleaned
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,b9d05c470aa908ca0db370ef,original_cleaned
27,0,1,26925590,1,0,0,0,0,0,0,1,0,0,0,4,1,14,0,0,예금,0,1,433c7fcc10f76b96569e268d,original_cleaned
32,0,0,12085,2,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,체크카드 발급,0,0,dd618a05b153412b7d8cf0b4,original_cleaned
44,0,0,2118660,1,0,0,0,0,0,0,0,0,0,2,15,0,1,0,0,출금,0,0,698eb694a00416a0e966a4ba,original_cleaned
55,0,1,4044114,1,0,0,0,0,0,0,0,0,0,2,3,3,26,0,0,소상공인 대출,0,0,a69f4d17a78c27ab7e757a87,original_cleaned
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,2bc1983957d522043b1676b8,original_cleaned
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,143c8791f17f7f7e471d02c3,original_cleaned
52,0,1,427146,1,1,1,1,0,0,0,0,0,0,4,4,3,2,0,0,연체관리,0,0,4ab1722d878ce96d55a65f6a,original_cleaned
59,0,0,14822747,1,1,0,0,0,0,0,0,0,0,0,0,0,106,4,0,통장 비밀번호 변경,0,0,3904f9b867fcafcff7dc1ec5,original_cleaned
38,0,1,2267021,3,0,0,0,0,0,0,0,0,0,2,4,16,6,0,0,이체,0,0,30fc5593b3ff877f14230aac,original_cleaned
62,0,1,3989911,2,1,0,0,0,0,1,0,0,0,3,1,12,4,0,0,이체,0,0,c737ee8a34689e1c97c4764f,original_cleaned
54,0,1,70341057,3,0,0,0,0,1,1,1,0,0,2,0,1,28,0,0,예금,0,1,44798e6068520c5cf0a801f4,original_cleaned
47,0,1,2029329,1,0,0,0,0,0,0,0,1,0,2,2,3,7,0,0,적금,1,0,dfd269572ae43a6bfb50fa3c,original_cleaned
28,0,0,78594572,2,0,0,0,0,0,1,1,0,0,0,2,0,7,0,0,예금,0,1,e58ce3fd445985d5d797fef6,original_cleaned
54,0,1,211662,2,1,0,1,0,0,1,0,0,0,0,0,0,37,0,0,신용대출,0,0,d127605f316c293bf5fe5545,original_cleaned
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,b6893f8a9d5d1930e09723b9,original_cleaned
56,1,1,27903888,3,1,0,0,0,1,0,0,0,0,0,0,0,33,0,0,기업대출,0,0,517ce92919731a91997e8970,original_cleaned
30,0,1,3359483,1,0,0,0,0,1,0,0,0,0,2,2,19,7,0,0,이체,0,0,445b22cbbd1ebd730bf1711d,original_cleaned
61,0,0,97620171,1,0,0,0,0,1,0,1,0,0,3,4,1,8,0,0,예금,0,1,57eaad0738636f2e53a8ea43,original_cleaned
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,2320f7d2cbe3e841c8633e39,original_cleaned
67,0,1,2032604,2,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,입금,0,0,a6f6e28c1bef4f1cbe9ac2da,original_cleaned
53,0,1,6110638,2,0,0,0,0,0,1,0,0,0,1,12,0,9,0,0,출금,0,0,7d489389dc2ff202869bdb08,original_cleaned
30,1,1,8190027,4,1,0,0,0,1,0,0,0,0,6,8,4,28,0,0,기업대출,0,0,3fb564b2fb6149ff64625014,original_cleaned
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,49f82d8b71af9b23bc2f1896,original_cleaned
43,0,1,101435270,2,1,0,0,0,0,0,0,0,0,1,2,4,13,0,0,주택담보대출,0,0,67e4654fe9afb92f1608ead7,original_cleaned
41,0,1,927925,2,1,0,1,0,0,0,0,0,0,3,4,1,23,0,0,대출 상환,0,0,70450012f44275eacd6d9b5b,original_cleaned
27,0,0,305133,1,0,0,0,0,0,1,0,0,0,4,2,1,16,0,0,신용대출,0,0,31fc13e7349312160f1399de,original_cleaned
55,0,0,12807398,1,0,0,0,0,1,1,0,0,0,1,5,0,23,0,0,주택담보대출,0,0,3a645c55d4d5133d6f62e3b8,original_cleaned
52,0,1,11402985,2,1,0,0,0,0,0,1,0,0,1,4,0,4,0,0,예금,0,1,8967ddfd12229f05a6f1ca7c,original_cleaned
29,0,1,1000000,2,0,0,0,0,1,0,0,0,0,2,1,4,30,0,0,금융상품가입,0,0,63a83c95b49ee9462ac80ddb,original_cleaned
54,0,1,1000000,2,0,0,0,0,1,1,0,0,0,5,1,1,26,0,0,금융상품가입,0,0,2fd68662a35da10699eafd1c,original_cleaned
19,0,1,454602,2,0,0,0,0,0,0,0,0,0,2,7,3,2,0,0,체크카드 발급,0,0,d5e0f23f4fbe37cf3844f6c2,original_cleaned
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,0b977065e967acdd3e3a5e7d,original_cleaned
41,0,0,11361364,2,1,0,0,0,1,0,0,0,0,3,6,1,14,0,0,신용카드 발급,0,0,4d9703c6c691c913b5bb98e9,original_cleaned
24,0,1,5496634,1,0,0,0,0,0,0,0,0,0,3,1,4,19,0,0,전세자금대출,0,0,3085d1fcf52cadad5959697d,original_cleaned
49,0,0,6287365,2,1,0,1,0,1,0,0,0,0,2,1,0,21,0,0,대출 상환,0,0,8e0207e2b5ee968798bda800,original_cleaned
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,입출금 계좌개설,0,0,52d8543eb0a22465c29318f7,original_cleaned
78,0,1,13243836,2,0,0,0,0,0,1,0,0,0,0,0,0,42,0,0,연금신청,0,0,fcd1df12cbeda12042b46b37,original_cleaned
27,0,0,21043989,2,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,신용카드 발급,0,0,b1757dc81137006069d9bdb2,original_cleaned
46,0,1,3049657,1,1,0,0,0,1,0,0,0,0,10,4,1,5,0,0,입금,0,0,25ca7d0d773daa54e59c4e05,original_cleaned
29,0,1,20614739,1,0,0,0,0,0,0,0,1,0,1,3,2,30,0,0,적금,1,0,150c47aa44dd22517abd3594,original_cleaned
39,0,1,7057583,2,1,0,0,0,1,0,0,1,0,2,5,1,29,0,0,적금,1,0,82152cfc7979e18dad5314e6,original_cleaned
49,0,1,19694448,1,0,0,0,0,1,1,1,0,0,2,0,3,9,0,0,예금,0,1,ace4e430b6a8a111907aa1d5,original_cleaned
45,0,1,2609255,3,0,0,0,0,1,0,0,1,0,2,3,3,21,0,0,출금,0,0,381ed72eca89cbeb13fe3969,original_cleaned
34,0,1,38842629,2,1,0,1,0,0,0,0,0,0,1,5,2,2,0,0,대출 상환,0,0,293781af1966dd37fc5999e4,original_cleaned
37,0,0,24398082,2,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,주택담보대출,0,0,e7765e1fc01cbcc6831b00dd,original_cleaned
46,0,0,17512860,2,1,1,1,0,1,0,0,0,0,4,1,0,1,0,0,연체관리,0,0,0c9adc91a86267be39d547f1,original_cleaned
49,0,0,30661993,1,0,0,0,0,0,0,0,0,0,4,7,0,3,0,0,주택담보대출,0,0,93003ed3defda80e03be1763,original_cleaned
41,0,1,3220138,1,0,0,0,0,0,0,0,1,0,3,4,2,24,0,0,적금,1,0,0d27b363a7d1c5167d34fc94,original_cleaned
28,0,0,4339796,1,0,0,0,0,1,0,0,0,0,3,10,2,7,0,0,출금,0,0,c8185ba97cd2919414c8f84c,original_cleaned
34,0,1,3055093,2,0,0,0,0,1,0,0,0,0,1,2,15,1,0,0,이체,0,0,eb62e558cd8024ceec180eb0,original_cleaned
37,0,0,2865148,3,1,0,0,0,1,0,0,0,0,0,4,0,12,0,0,소상공인 대출,0,0,0e352cac77365e75286f416d,original_cleaned
53,0,0,112332023,1,0,0,0,0,1,0,1,0,0,0,0,0,42,0,0,예금,0,1,1ac4e58f9a233e56d04946b7,original_cleaned
79,0,1,6038659,1,0,0,0,0,0,0,0,0,0,7,4,0,13,0,0,입금,0,0,55a2adbf96154a53324ceb58,original_cleaned
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,e4631083e7f437d3d86a49e5,original_cleaned
72,0,1,7222029,2,0,0,0,0,1,0,0,0,0,13,3,1,4,0,0,입금,0,0,04338c45fd9b371bb5360da9,original_cleaned
40,0,0,3481993,1,0,0,0,0,0,1,0,0,0,1,3,13,5,0,0,이체,0,0,a8444354472c95dceb3f4280,original_cleaned
61,1,1,41487337,1,1,1,0,0,1,0,0,0,2,0,0,0,43,0,0,부도관리,0,0,2d3df8860186f17b12e070bb,original_cleaned
50,1,0,10861803,1,0,0,0,0,0,0,0,0,0,1,4,3,4,0,0,법인카드 발급,0,0,0d4c36d7a440d30b5037c3ce,original_cleaned
39,0,1,5937527,3,0,0,0,0,0,0,0,1,0,1,2,1,24,0,0,적금,1,0,069e7f137f6c7c11a8a788ca,original_cleaned
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,dd05485721e3438f188c6f16,original_cleaned
61,0,1,20758881,1,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,연금신청,0,0,2443b7b127276392d3f9d629,original_cleaned
77,0,0,8929176,2,0,0,0,0,1,0,0,0,0,2,5,4,10,0,0,연금신청,0,0,cad226fee2243af72182149d,original_cleaned
27,0,1,8644511,2,0,0,0,0,1,0,0,0,0,2,4,3,16,0,0,전세자금대출,0,0,24462c91833b2fc8cd341aed,original_cleaned
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,14e072056e4db10b838bda22,original_cleaned
48,0,1,25481973,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,금융상품가입,0,0,d971b49dbfe46a8124c53ef3,original_cleaned
29,0,1,2900191,1,0,0,0,0,0,0,0,0,0,5,2,2,30,0,0,체크카드 발급,0,0,6f5655343ce4355083ad1e3f,original_cleaned
39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,법인계좌 개설,0,0,5a69c3dc364b81e22188bb11,original_cleaned
48,0,0,34787719,1,1,0,0,0,1,0,0,0,0,0,0,0,32,0,0,신용카드 발급,0,0,828deb29cacb6319d384279a,original_cleaned
48,0,1,7794723,1,0,0,0,0,1,0,0,0,0,12,3,1,11,0,0,입금,0,0,b4104fdab1cc2a91d04cc310,original_cleaned
54,0,1,8762375,3,0,0,0,0,1,0,0,0,0,2,3,18,7,0,0,이체,0,0,e652b55cd76c2e3c014284a6,original_cleaned
49,0,0,1261834,2,1,1,1,0,1,0,0,0,0,0,0,0,36,0,0,연체관리,0,0,390f80a25a384b73b64fee08,original_cleaned
24,0,1,1384511,2,0,0,0,0,0,0,0,0,0,4,2,2,16,0,0,체크카드 발급,0,0,50d6fcb4a1f51b2eb897b74d,original_cleaned
57,0,0,324738,1,0,0,0,0,0,0,0,0,0,2,7,1,6,0,0,출금,0,0,63a66570b875104f2143802d,original_cleaned
63,0,0,18618909,1,0,0,0,0,1,0,0,0,0,0,3,2,15,0,0,소상공인 대출,0,0,1178971bbc80804a8c1ed622,original_cleaned
26,0,1,10114321,1,1,1,1,0,1,0,0,0,0,2,2,2,24,0,0,연체관리,0,0,c7fc23a35cce6581b9514109,original_cleaned
